PROVINCE/CITY/MUNICIPALITY,Affected_BRGY, Affected_FAMILY,Affected_PERSONS,Num_EC, ServedInsideEC_Fam,ServedInsideEC_Pers,ServedOutsideEC_Fam,ServedOutsideEC_Pers,TotalServed_Fam,TotalServed_Pers
GRAND TOTAL,61,23426,89880,57,16373,62097,1357,5491,17733,67587
Bacacay,1,139,506,1,138,505,-,-,138,505
Camalig,14,3090,11597,7,2152,7900,287,1336,2439,9236
Daraga,6,3421,14110,5,1388,5721,791,3272,2179,8993
Guinobatan,7,3591,12181,19,2648,8879,113,352,2761,9231
Legazpi City,9,4553,17158,7,2932,11285,121,363,3053,11648
Ligao City,5,1411,6055,4,952,4022,-,-,952,4022
Malilipot,3,1349,5237,3,1304,5067,45,168,1349,5234
Santo Domingo, 7,3932,15343,4,2944,11141,-,-,2944,11141
Tabaco City, 9,1940,7693,7,1915,7577,-,-,1915,7577
